day,medal_date,medal_type,name,country_code,gender,discipline,event,event_type,url_event
7,02-08-2024,Silver Medal,KIM Minjong,KOR,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--
7,02-08-2024,Bronze Medal,Temur RAKHIMOV,TJK,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000100--
7,02-08-2024,Bronze Medal,Alisher YUSUPOV,UZB,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/repf000200--
7,02-08-2024,Gold Medal,Beatriz SOUZA,BRA,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--
7,02-08-2024,Silver Medal,Raz HERSHKO,ISR,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--
7,02-08-2024,Bronze Medal,KIM Hayun,KOR,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000100--
7,02-08-2024,Bronze Medal,Romane DICKO,FRA,W,Judo,Women +78 kg,HATH,/en/paris-2024/results/judo/women--plus-78-kg/repf000200--
7,02-08-2024,Gold Medal,Ireland,IRL,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------
7,02-08-2024,Silver Medal,Italy,ITA,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------
7,02-08-2024,Bronze Medal,Greece,GRE,M,Rowing,Lightweight Men's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------
7,02-08-2024,Gold Medal,Great Britain,GBR,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------
7,02-08-2024,Silver Medal,Romania,ROU,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------
7,02-08-2024,Bronze Medal,Greece,GRE,W,Rowing,Lightweight Women's Double Sculls,TEAM,/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------
7,02-08-2024,Gold Medal,Croatia,CRO,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------
7,02-08-2024,Silver Medal,Great Britain,GBR,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------
7,02-08-2024,Bronze Medal,Switzerland,SUI,M,Rowing,Men's Pair,TEAM,/en/paris-2024/results/rowing/men-s-pair/fnl---------
7,02-08-2024,Gold Medal,Netherlands,NED,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------
7,02-08-2024,Silver Medal,Romania,ROU,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------
7,02-08-2024,Bronze Medal,Australia,AUS,W,Rowing,Women's Pair,TEAM,/en/paris-2024/results/rowing/women-s-pair/fnl---------
7,02-08-2024,Gold Medal,BOTIN/TRITTEL,ESP,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--
7,02-08-2024,Silver Medal,McHARDIE/McKENZIE,NZL,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--
7,02-08-2024,Bronze Medal,BARROWS/HENKEN,USA,M,Sailing,Men's Skiff,TEAM,/en/paris-2024/results/sailing/men-s-skiff/fnl-000100--
7,02-08-2024,Gold Medal,AANHOLT/DUETZ,NED,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--
7,02-08-2024,Silver Medal,BOBECK/NETZLER,SWE,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--
7,02-08-2024,Bronze Medal,STEYAERT/PICON,FRA,W,Sailing,Women's Skiff,TEAM,/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--
7,02-08-2024,Gold Medal,Chiara LEONE,SUI,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--
7,02-08-2024,Silver Medal,Sagen MADDALENA,USA,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--
7,02-08-2024,Bronze Medal,ZHANG Qiongyue,CHN,W,Shooting,50m Rifle 3 Positions Women,ATH,/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--
7,02-08-2024,Gold Medal,Leon MARCHAND,FRA,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--
7,02-08-2024,Silver Medal,Duncan SCOTT,GBR,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--
7,02-08-2024,Bronze Medal,WANG Shun,CHN,M,Swimming,Men's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--
